Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
49501555,Dark Matter - Người chạy xuyên không gian,Blake Crouch,"Crouch, Blake",Việt Anh,"=""6049868158""","=""9786049868153""",3,4.13,"NXB Văn Học, Đinh Tị Books",Paperback,532,2019,2016,2026/04/02,2025/11/20,,,read,"3* Like it<br/>Tưởng tượng như này.<br/>Bạn miêu tả lại điều bạn mong muốn, cảm nhận, nhìn thấy, trọn vẹn cảm xúc của bạn... Để Model trả về cho bạn một bức tranh.<br/>Thử vài lần với những miêu tả chung chung, rồi nhận ra chừng đó không phải chính xác những gì bạn muốn. Bạn lại phải chỉnh sửa, làm sao, bằng cách nào truyền tải được trọn vẹn ""thông tin"" mà bạn có sang máy?<br/>Nếu có vô hạn lựa chọn, thì model chỉ có thể trả về cho bạn cái gần nhất với mô tả của bạn.<br/><br/>Đoạn ở thế giới kia, nếu toàn bộ ekip lại chỉ phụ thuộc vào cách hoạt động của 1 bộ não thì hơi khó hiểu :)<br/><br/>Đoạn cuối gay cấn thực sự, đúng là điều mình không nghĩ tới. Vậy nên, nếu mỗi khoảnh khắc là một suy nghĩ, một lựa chon... sẽ dẫn tới kết quả khác nhau - và còn phụ thuộc vào hành động của người khác, thì số vũ trụ sẽ là một số vô cùng :) Nhưng mô tả tưởng tượng như một cái cây, phát triển ra các nhánh vô hạn - à, sẽ có nhánh bị diệt vong.<br/>Và chỉ cần 1 trong vô hạn đó thiết kế ra cánh cửa - là sẽ thông được toàn bộ vũ trụ với nhau. <br/><br/>Nhưng lựa chọn đi vào hộp là chuẩn rồi.",,,1,0
564927,Ho Chi Minh: A Life,William J. Duiker,"Duiker, William J.",,"=""078688701X""","=""9780786887019""",4,4.16,Hyperion,Paperback,695,2001,2000,2026/03/26,2025/05/20,,,read,"really like it <br/>Mình rất thích cuốn này, nhưng sẽ không mang cuốn này đi giới thiệu cho mng. <br/>Không phải cuốn sách nên đọc năm bao nhiêu tuổi, mà nên đọc vào lúc nào. Năm 2010 mà đọc thì chắc chắn cảm giác khác 2026.<br/>Chỉ có review liên tục với bạn mình, ""ui, t bị lụt trong cuốn này, b cũng thử tìm đọc xem - ho chi minh a life - t đọc bản tiếng Việt. thực sự q này, ở độ 30t đọc cũng cấn lắm. Bác có câu ""thà ngửi c* phương Tây vài năm còn hơn ăn c* phương Bắc"" vcc thật. chừng đó năm vẫn là quân bài bị kẹt giữa TQ, Nga, Mỹ, nhưng Bác đi & tiếp xúc nên có cái nhìn bao quát hơn, cgi cũng nằm trong vị thế qte chứ ko phải cứ chiến trên chiến trường ở trong nc. nói gì nói, VN vẫn giữ đc vững từ 1945 tới giờ là kinh b ạ, đọc thấy phong ba bão táp kinh hoàng @@ bên trong có đấu đá phe phái ntn, vẫn giữ đc 1 gốc 1 ngọn tới giờ, vậy là thành công chung r. đứng giữa các nc lớn nó nhảy múa nữa, phục mấy ông.""<br/>Chừng đó năm, biết mình là nước nhỏ, biết vị trí của mình ở đâu, buộc phải nhẫn nhịn, buộc phải ngoại giao. Chẳng tiếc gì lời khen, đi đâu cũng khen, gặp anh A thì phải khen anh B :)) làm gì cũng sẵn sàng, miễn có lợi cho đất nước.<br/>Cái vụ ccrđ nó từ phương Bắc, nhưng sau đó các ông bên mình cũng nhận ra, sau đó từ chối không học theo họ nữa mà. Điều này vẫn thể hiện cái chất riêng của mình ^^<br/>Như bác Lương Cường có phát biểu, năm ngón tay còn có ngón dài ngón ngắn :) nhưng gắn với cơ thể, làm nên bàn tay :)",,,1,0
29437143,Con Đường Chẳng Mấy Ai đi,M. Scott Peck,"Peck, M. Scott",Lê Công Đức,"=""""","=""""",0,4.08,Nxb Tôn Giáo,Paperback,352,2013,1978,,2026/03/25,to-read,to-read (#270),to-read,,,,0,0
25889454,Ra vườn nhặt nắng,Nguyễn Thế Hoàng Linh,"Linh, Nguyễn Thế Hoàng",,"=""6047714315""","=""9786047714315""",0,4.49,Thế Giới,Paperback,96,2015,2015,,2026/03/25,to-read,to-read (#269),to-read,,,,0,0
213345402,Cuốn sách xanh ở Nebo,Manon Steffan Ros,"Ros, Manon Steffan",Phạm Hoa Phượng,"=""""","=""""",0,4.16,SaigonBooks & NXB Thế Giới,Paperback,160,2024,2018,,2026/03/25,to-read,to-read (#268),to-read,,,,0,0
245199230,Không khuất phục,Constance Elizabeth Maud,"Maud, Constance Elizabeth",Nguyễn Thị Hạnh,"=""6326100208""","=""9786326100204""",0,3.86,NXB Phụ nữ Việt Nam & Phúc Minh,Paperback,432,2025,1911,,2026/03/25,to-read,to-read (#267),to-read,,,,0,0
53304222,Thể xác và tâm hồn,Maxence Van der Meersch,"Meersch, Maxence Van der",Phan Minh Hồng; Mai Thái Lộc,"=""""","=""""",0,4.19,NXB Lao Động,Paperback,690,1993,1943,,2026/03/25,to-read,to-read (#266),to-read,,,,0,0
34826769,Bố con cá gai,Cho Chang-In,"Chang-In, Cho",Nguyễn Thị Thu Vân,"=""6045376153""","=""9786045376157""",2,4.41,Nhã Nam & NXB Hội Nhà Văn,Paperback,337,2017,2000,2026/03/20,2020/06/27,,,read,"2*: it was ok<br/>uhm, nửa đầu thì OK, ổn, cảm<br/>Nhưng nửa sau để làm gì nhỉ? Đẩy bi kịch lên để làm gì?<br/>Chắc hẳn là khác biệt về văn hoá, mình nghĩ người Việt có kết nối với máu mủ mạnh mẽ hơn.<br/>Để cứu con mình, mình tin là Bố Mẹ sẵn sàng gạt bỏ hết cái tôi của bản thân đi, đặt con cái lên trước.<br/>Người Hàn họ đặt cái tôi họ lên trước con cái.",,,1,0
12362566,Một Thiên Nằm Mộng,Nguyễn Ngọc Thuần,"Thuần, Nguyễn Ngọc",,"=""""","=""""",0,3.85,Kim Đồng,Paperback,172,2006,2004,,2026/03/19,to-read,to-read (#265),to-read,,,,0,0
203321247,Đèn nhỏ và những đứa con của biển,Annet Schaap,"Schaap, Annet",Huyền Vũ,"=""6044775410""","=""9786044775418""",3,4.41,Nhã Nam & NXB Văn học,Paperback,428,2023,2014,2026/03/17,2024/05/03,,,read,"2.5*: it was ok<br/>Thực ra 200 trang đầu khá ổn, có kịch bản, có nội dung<br/>Lúc gặp cá vẫn tạm ổn<br/>Sau đó thì ngớ ngẩn @@ ",,,1,0
